post,caption,date,likesComment,idFatherComment,idChildComment,username
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-12-31T02:59:07.000Z,0 like,wavesofbliss_soundtherapy,,wavesofbliss_soundtherapy
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-01-01T22:52:17.000Z,0 like,hoonyshinn,,hoonyshinn
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-01-09T09:07:31.000Z,1 like,zelmagutierrezgonzales,,zelmagutierrezgonzales
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-01-11T14:10:56.000Z,1 like,tweej101,,tweej101
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,samholmes23,samholmes23
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,tweej101,tweej101
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-26T00:44:52.000Z,2 likes,atl.mumu,,atl.mumu
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-26T04:00:22.000Z,6 likes,general_parking_spot,,general_parking_spot
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-26T04:13:52.000Z,1 like,stevehearst,,stevehearst
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-27T02:32:14.000Z,2 likes,bavinport,,bavinport
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-27T03:28:41.000Z,4 likes,ottobismar1,,ottobismar1
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-28T02:29:36.000Z,0 like,revcates,,revcates
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-28T10:33:26.000Z,1 like,tariqkhans,,tariqkhans
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-28T19:37:46.000Z,9 likes,_grferreira,,_grferreira
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,taylorjones7726,taylorjones7726
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,taylorjones7726,taylorjones7726
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,0 like,,fearthespear__,fearthespear__
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-29T08:10:25.000Z,1 like,valeriasancha,,valeriasancha
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,martim.m,martim.m
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-12-02T04:53:37.000Z,0 like,taheri.hasan71,,taheri.hasan71
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-12-04T10:52:19.000Z,5 likes,danoleye,,danoleye
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-12-04T21:47:57.000Z,0 like,juan_tep_58,,juan_tep_58
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,marielita_aam,marielita_aam
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-22T20:00:23.000Z,1 like,samueleestrada,,samueleestrada
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-22T20:09:35.000Z,7 likes,juliangutierrez5,,juliangutierrez5
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-22T20:54:23.000Z,1 like,eivindrs,,eivindrs
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-22T22:41:54.000Z,2 likes,lysxvo,,lysxvo
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-23T03:08:11.000Z,2 likes,ashketchumponchu,,ashketchumponchu
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-23T12:05:33.000Z,5 likes,jakob.leander,,jakob.leander
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-23T13:28:10.000Z,1 like,jayboihd210.tv,,jayboihd210.tv
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-23T15:06:02.000Z,1 like,houlegraversen,,houlegraversen
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-23T17:30:18.000Z,0 like,prattcyrus,,prattcyrus
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-24T03:34:54.000Z,0 like,gypsytnt,,gypsytnt
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-24T05:38:44.000Z,1 like,grigzyy,,grigzyy
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-25T14:49:27.000Z,0 like,spewnewt,,spewnewt
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-04T02:23:26.000Z,0 like,_lukecarney,,_lukecarney
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-04T06:59:53.000Z,2 likes,grant_branstetter,,grant_branstetter
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-09T18:39:46.000Z,2 likes,teddy_but_better,,teddy_but_better
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,ned.hibberd,ned.hibberd
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-13T21:24:21.000Z,1 like,kiekste,,kiekste
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-16T10:15:35.000Z,0 like,mattyrdunc,,mattyrdunc
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-20T06:39:44.000Z,1 like,beautythroughmyeyes,,beautythroughmyeyes
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-22T06:26:50.000Z,1 like,chrishorton.90,,chrishorton.90
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,0 like,,heather_nash_93_,heather_nash_93_
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-22T07:06:57.000Z,0 like,speedbooost,,speedbooost
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2019-11-22T08:34:52.000Z,0 like,thatonesagittariusboi,,thatonesagittariusboi
